signal_name,p0_item,source_component,dashboard_panel,widget_key,refresh_cadence,staleness_threshold,alert_threshold,owner,kill_switch_name,rollback_action,enabled
materialization_series_frame_capture_last_diagnostic,P0.6,materialization_queue_worker,Materialization,materialization.series_frame_capture.last_diagnostic,5m,,severity=warning|error,Content Ops,ENABLE_FRAME_CAPTURE_ARTWORK,Disable frame capture artwork worker and retain queue,true
master_control_inventory_completed,P0.8,master_control_inventory,Master Control Inventory,master_control.inventory.completed,manual,n/a,status=failed,Architecture Ops,ENABLE_MASTER_CONTROL_INVENTORY,Disable inventory worker and retain last generated reports,true
provider_sync_delta_plan_completed,P0.5,provider_sync_delta,Provider Sync,provider.sync.delta.plan,on demand,24h,status=fail,Content Ops,ENABLE_PROVIDER_SYNC_DELTA_PLANNER,Disable planner and continue existing refresh model,true
provider_pull_spine_inspection_completed,P0.5,provider_pull_spine,Provider Sync,provider.pull.spine.inspection,on demand,24h,status=fail,Content Ops,ENABLE_PROVIDER_PULL_SPINE_INSPECTION,Disable read-only provider pull spine inspection,true
provider_account_context_inspection_completed,P0.5,provider_account_context,Provider Sync,provider.account.context.inspection,on demand,24h,status=fail,Content Ops,ENABLE_PROVIDER_ACCOUNT_CONTEXT_INSPECTION,Disable read-only provider account context inspection,true
provider_live_categories_snapshot_completed,P0.5,provider_live_categories_snapshot,Provider Sync,provider.live.categories.snapshot,on demand,24h,status=fail,Content Ops,ENABLE_PROVIDER_LIVE_CATEGORIES_SNAPSHOT,Disable provider live categories snapshot worker,true
provider_vod_categories_snapshot_completed,P0.5,provider_vod_categories_snapshot,Provider Sync,provider.vod.categories.snapshot,on demand,24h,status=fail,Content Ops,ENABLE_PROVIDER_VOD_CATEGORIES_SNAPSHOT,Disable provider VOD categories snapshot worker,true
provider_series_categories_snapshot_completed,P0.5,provider_series_categories_snapshot,Provider Sync,provider.series.categories.snapshot,on demand,24h,status=fail,Content Ops,ENABLE_PROVIDER_SERIES_CATEGORIES_SNAPSHOT,Disable provider Series categories snapshot worker,true
provider_live_streams_snapshot_completed,P0.5,provider_live_streams_snapshot,Provider Sync,provider.live.streams.snapshot,on demand,24h,status=fail,Content Ops,ENABLE_PROVIDER_LIVE_STREAMS_SNAPSHOT,Disable provider live streams snapshot worker,true
provider_vod_streams_snapshot_completed,P0.5,provider_vod_streams_snapshot,Provider Sync,provider.vod.streams.snapshot,on demand,24h,status=fail,Content Ops,ENABLE_PROVIDER_VOD_STREAMS_SNAPSHOT,Disable provider VOD streams snapshot worker,true
provider_series_streams_snapshot_completed,P0.5,provider_series_streams_snapshot,Provider Sync,provider.series.streams.snapshot,on demand,24h,status=fail,Content Ops,ENABLE_PROVIDER_SERIES_STREAMS_SNAPSHOT,Disable provider Series streams snapshot worker,true
provider_snapshot_delta_plan_completed,P0.5,provider_snapshot_delta,Provider Sync,provider.snapshot.delta.plan,on demand,24h,status=fail,Content Ops,ENABLE_PROVIDER_SNAPSHOT_DELTA_PLAN,Disable provider snapshot delta planner,true
provider_snapshot_spine_runner_completed,P0.5,provider_snapshot_spine,Provider Sync,provider.snapshot.spine.runner,on demand,24h,status=fail,Content Ops,ENABLE_PROVIDER_SNAPSHOT_SPINE_RUNNER,Disable provider snapshot spine runner,true
grinder_disposition_contract_completed,P0.5,grinder_disposition_contract,Provider Sync,grinder.disposition.contract,on demand,24h,status=fail,Content Ops,ENABLE_GRINDER_DISPOSITION_CONTRACT_CHECK,Disable grinder disposition contract checker,true
provider_snapshot_import_preview_completed,P0.5,provider_snapshot_import_preview,Provider Sync,provider.snapshot.import.preview,on demand,24h,status=fail,Content Ops,ENABLE_PROVIDER_SNAPSHOT_IMPORT_PREVIEW,Disable provider snapshot import preview,true
provider_snapshot_delta_import_dryrun_completed,P0.5,provider_snapshot_delta_import_dryrun,Provider Sync,provider.snapshot.delta.import.dryrun,on demand,24h,status=fail,Content Ops,ENABLE_PROVIDER_SNAPSHOT_DELTA_IMPORT_DRYRUN,Disable provider snapshot delta import dry-run,true
provider_snapshot_delta_import_dryrun_would_import_count,P0.5,provider_snapshot_delta_import_dryrun,Provider Sync,provider.snapshot.delta.import_dryrun.would_import_count,on demand,24h,>0,Content Ops,ENABLE_PROVIDER_SNAPSHOT_DELTA_IMPORT_DRYRUN,Disable provider snapshot delta import dry-run,true
provider_snapshot_delta_import_dryrun_skip_provider_noise_count,P0.5,provider_snapshot_delta_import_dryrun,Provider Sync,provider.snapshot.delta.import_dryrun.skip_provider_noise_count,on demand,24h,n/a,Content Ops,ENABLE_PROVIDER_SNAPSHOT_DELTA_IMPORT_DRYRUN,Disable provider snapshot delta import dry-run,true
provider_snapshot_delta_import_dryrun_manual_review_count,P0.5,provider_snapshot_delta_import_dryrun,Provider Sync,provider.snapshot.delta.import_dryrun.manual_review_count,on demand,24h,>0,Content Ops,ENABLE_PROVIDER_SNAPSHOT_DELTA_IMPORT_DRYRUN,Disable provider snapshot delta import dry-run,true
provider_snapshot_vod_streams_import_preview_completed,P0.5,provider_snapshot_vod_streams_import_preview,Provider Sync,provider.snapshot.vod_streams.import.preview,on demand,24h,status=fail,Content Ops,ENABLE_PROVIDER_SNAPSHOT_VOD_STREAMS_IMPORT_PREVIEW,Disable VOD streams import preview,true
provider_snapshot_vod_streams_import_preview_planned_count,P0.5,provider_snapshot_vod_streams_import_preview,Provider Sync,provider.snapshot.vod_streams.import_preview.planned_count,on demand,24h,>0,Content Ops,ENABLE_PROVIDER_SNAPSHOT_VOD_STREAMS_IMPORT_PREVIEW,Disable VOD streams import preview,true
provider_snapshot_vod_streams_import_preview_manual_review_count,P0.5,provider_snapshot_vod_streams_import_preview,Provider Sync,provider.snapshot.vod_streams.import_preview.manual_review_count,on demand,24h,>0,Content Ops,ENABLE_PROVIDER_SNAPSHOT_VOD_STREAMS_IMPORT_PREVIEW,Disable VOD streams import preview,true
provider_snapshot_vod_streams_import_row_preview_completed,P0.5,provider_snapshot_vod_streams_import_row_preview,Provider Sync,provider.snapshot.vod_streams.import_row_preview,on demand,24h,status=fail,Content Ops,ENABLE_PROVIDER_SNAPSHOT_VOD_STREAMS_IMPORT_ROW_PREVIEW,Disable VOD streams row preview,true
provider_snapshot_vod_streams_import_row_preview_sampled_count,P0.5,provider_snapshot_vod_streams_import_row_preview,Provider Sync,provider.snapshot.vod_streams.import_row_preview.sampled_count,on demand,24h,n/a,Content Ops,ENABLE_PROVIDER_SNAPSHOT_VOD_STREAMS_IMPORT_ROW_PREVIEW,Disable VOD streams row preview,true
provider_snapshot_vod_streams_import_row_preview_manual_review_count,P0.5,provider_snapshot_vod_streams_import_row_preview,Provider Sync,provider.snapshot.vod_streams.import_row_preview.manual_review_count,on demand,24h,>0,Content Ops,ENABLE_PROVIDER_SNAPSHOT_VOD_STREAMS_IMPORT_ROW_PREVIEW,Disable VOD streams row preview,true
provider_snapshot_vod_streams_import_row_preview_missing_required_count,P0.5,provider_snapshot_vod_streams_import_row_preview,Provider Sync,provider.snapshot.vod_streams.import_row_preview.missing_required_count,on demand,24h,>0,Content Ops,ENABLE_PROVIDER_SNAPSHOT_VOD_STREAMS_IMPORT_ROW_PREVIEW,Disable VOD streams row preview,true
provider_snapshot_import_readiness_summary_completed,P0.5,provider_snapshot_import_readiness,Provider Sync,provider.snapshot.import.readiness,on demand,24h,status=fail,Content Ops,ENABLE_PROVIDER_SNAPSHOT_IMPORT_READINESS_SUMMARY,Disable provider snapshot import readiness summary,true
provider_snapshot_import_readiness_ready_count,P0.5,provider_snapshot_import_readiness,Provider Sync,provider.snapshot.import.readiness.ready_count,on demand,24h,n/a,Content Ops,ENABLE_PROVIDER_SNAPSHOT_IMPORT_READINESS_SUMMARY,Disable provider snapshot import readiness summary,true
provider_snapshot_import_readiness_blocked_count,P0.5,provider_snapshot_import_readiness,Provider Sync,provider.snapshot.import.readiness.blocked_count,on demand,24h,>0,Content Ops,ENABLE_PROVIDER_SNAPSHOT_IMPORT_READINESS_SUMMARY,Disable provider snapshot import readiness summary,true
provider_snapshot_import_readiness_review_count,P0.5,provider_snapshot_import_readiness,Provider Sync,provider.snapshot.import.readiness.review_count,on demand,24h,>0,Content Ops,ENABLE_PROVIDER_SNAPSHOT_IMPORT_READINESS_SUMMARY,Disable provider snapshot import readiness summary,true
provider_snapshot_import_execution_plan_completed,P0.5,provider_snapshot_import_execution_plan,Provider Sync,provider.snapshot.import.execution_plan,on demand,24h,status=fail,Content Ops,ENABLE_PROVIDER_SNAPSHOT_IMPORT_EXECUTION_PLAN,Disable provider snapshot import execution planner,true
provider_snapshot_import_execution_plan_planned_count,P0.5,provider_snapshot_import_execution_plan,Provider Sync,provider.snapshot.import.execution_plan.planned_count,on demand,24h,n/a,Content Ops,ENABLE_PROVIDER_SNAPSHOT_IMPORT_EXECUTION_PLAN,Disable provider snapshot import execution planner,true
provider_snapshot_import_execution_plan_blocked_count,P0.5,provider_snapshot_import_execution_plan,Provider Sync,provider.snapshot.import.execution_plan.blocked_count,on demand,24h,>0,Content Ops,ENABLE_PROVIDER_SNAPSHOT_IMPORT_EXECUTION_PLAN,Disable provider snapshot import execution planner,true
provider_snapshot_import_execution_plan_noop_count,P0.5,provider_snapshot_import_execution_plan,Provider Sync,provider.snapshot.import.execution_plan.noop_count,on demand,24h,n/a,Content Ops,ENABLE_PROVIDER_SNAPSHOT_IMPORT_EXECUTION_PLAN,Disable provider snapshot import execution planner,true
provider_snapshot_import_preflight_gate_completed,P0.5,provider_snapshot_import_preflight_gate,Provider Sync,provider.snapshot.import.preflight_gate,on demand,24h,status=fail,Content Ops,ENABLE_PROVIDER_SNAPSHOT_IMPORT_PREFLIGHT_GATE,Disable provider snapshot import preflight gate,true
provider_snapshot_import_preflight_gate_pass_count,P0.5,provider_snapshot_import_preflight_gate,Provider Sync,provider.snapshot.import.preflight_gate.pass_count,on demand,24h,n/a,Content Ops,ENABLE_PROVIDER_SNAPSHOT_IMPORT_PREFLIGHT_GATE,Disable provider snapshot import preflight gate,true
provider_snapshot_import_preflight_gate_fail_count,P0.5,provider_snapshot_import_preflight_gate,Provider Sync,provider.snapshot.import.preflight_gate.fail_count,on demand,24h,>0,Content Ops,ENABLE_PROVIDER_SNAPSHOT_IMPORT_PREFLIGHT_GATE,Disable provider snapshot import preflight gate,true
provider_snapshot_import_preflight_gate_step_count,P0.5,provider_snapshot_import_preflight_gate,Provider Sync,provider.snapshot.import.preflight_gate.step_count,on demand,24h,n/a,Content Ops,ENABLE_PROVIDER_SNAPSHOT_IMPORT_PREFLIGHT_GATE,Disable provider snapshot import preflight gate,true
provider_snapshot_governed_refresh_gate_completed,P0.5,provider_snapshot_governed_refresh_gate,Provider Sync,provider.snapshot.governed_refresh_gate,on demand,24h,status=fail,Content Ops,ENABLE_PROVIDER_SNAPSHOT_GOVERNED_REFRESH_GATE,Disable provider snapshot governed refresh gate,true
provider_snapshot_governed_refresh_gate_pass_count,P0.5,provider_snapshot_governed_refresh_gate,Provider Sync,provider.snapshot.governed_refresh_gate.pass_count,on demand,24h,n/a,Content Ops,ENABLE_PROVIDER_SNAPSHOT_GOVERNED_REFRESH_GATE,Disable provider snapshot governed refresh gate,true
provider_snapshot_governed_refresh_gate_fail_count,P0.5,provider_snapshot_governed_refresh_gate,Provider Sync,provider.snapshot.governed_refresh_gate.fail_count,on demand,24h,>0,Content Ops,ENABLE_PROVIDER_SNAPSHOT_GOVERNED_REFRESH_GATE,Disable provider snapshot governed refresh gate,true
provider_snapshot_governed_refresh_gate_step_count,P0.5,provider_snapshot_governed_refresh_gate,Provider Sync,provider.snapshot.governed_refresh_gate.step_count,on demand,24h,n/a,Content Ops,ENABLE_PROVIDER_SNAPSHOT_GOVERNED_REFRESH_GATE,Disable provider snapshot governed refresh gate,true
master_control_route_registry_normalized_completed,P0.5,master_control_import_route_registry,Provider Sync,master_control.import_route_registry.normalized,on demand,24h,status=fail,Content Ops,ENABLE_MASTER_CONTROL_ROUTE_REGISTRY_NORMALIZER,Disable master control route registry normalizer,true
master_control_route_registry_route_count,P0.5,master_control_import_route_registry,Provider Sync,master_control.import_route_registry.route_count,on demand,24h,n/a,Content Ops,ENABLE_MASTER_CONTROL_ROUTE_REGISTRY_NORMALIZER,Disable master control route registry normalizer,true
master_control_route_registry_import_route_count,P0.5,master_control_import_route_registry,Provider Sync,master_control.import_route_registry.import_route_count,on demand,24h,n/a,Content Ops,ENABLE_MASTER_CONTROL_ROUTE_REGISTRY_NORMALIZER,Disable master control route registry normalizer,true
master_control_route_registry_review_route_count,P0.5,master_control_import_route_registry,Provider Sync,master_control.import_route_registry.review_route_count,on demand,24h,>0,Content Ops,ENABLE_MASTER_CONTROL_ROUTE_REGISTRY_NORMALIZER,Disable master control route registry normalizer,true
master_control_worker_functions_classified_completed,P0.5,master_control_worker_function_classification,Provider Sync,master_control.worker_functions.classified,on demand,24h,status=fail,Content Ops,ENABLE_MASTER_CONTROL_WORKER_FUNCTION_CLASSIFIER,Disable master control worker function classifier,true
master_control_worker_functions_total_count,P0.5,master_control_worker_function_classification,Provider Sync,master_control.worker_functions.total_count,on demand,24h,n/a,Content Ops,ENABLE_MASTER_CONTROL_WORKER_FUNCTION_CLASSIFIER,Disable master control worker function classifier,true
master_control_worker_functions_review_count,P0.5,master_control_worker_function_classification,Provider Sync,master_control.worker_functions.review_count,on demand,24h,>0,Content Ops,ENABLE_MASTER_CONTROL_WORKER_FUNCTION_CLASSIFIER,Disable master control worker function classifier,true
master_control_worker_functions_canonical_candidate_count,P0.5,master_control_worker_function_classification,Provider Sync,master_control.worker_functions.canonical_candidate_count,on demand,24h,n/a,Content Ops,ENABLE_MASTER_CONTROL_WORKER_FUNCTION_CLASSIFIER,Disable master control worker function classifier,true
deferred_partial_salvage_queue_planned_completed,P0.5,deferred_partial_salvage_queue,Provider Sync,deferred_partial.salvage_queue.planned,on demand,24h,status=fail,Content Ops,ENABLE_DEFERRED_PARTIAL_SALVAGE_QUEUE_PLANNER,Disable deferred partial salvage queue planner,true
deferred_partial_salvage_queue_candidate_count,P0.5,deferred_partial_salvage_queue,Provider Sync,deferred_partial.salvage_queue.candidate_count,on demand,24h,n/a,Content Ops,ENABLE_DEFERRED_PARTIAL_SALVAGE_QUEUE_PLANNER,Disable deferred partial salvage queue planner,true
deferred_partial_salvage_queue_partial_count,P0.5,deferred_partial_salvage_queue,Provider Sync,deferred_partial.salvage_queue.partial_count,on demand,24h,n/a,Content Ops,ENABLE_DEFERRED_PARTIAL_SALVAGE_QUEUE_PLANNER,Disable deferred partial salvage queue planner,true
deferred_partial_salvage_queue_review_count,P0.5,deferred_partial_salvage_queue,Provider Sync,deferred_partial.salvage_queue.review_count,on demand,24h,>0,Content Ops,ENABLE_DEFERRED_PARTIAL_SALVAGE_QUEUE_PLANNER,Disable deferred partial salvage queue planner,true
vod_streams_import_route_apply_contract_planned_completed,P0.5,vod_streams_import_route_apply_contract,Provider Sync,vod_streams.import_route_apply_contract.planned,on demand,24h,status=fail,Content Ops,ENABLE_VOD_STREAMS_IMPORT_ROUTE_APPLY_CONTRACT_PLANNER,Disable VOD streams import route apply contract planner,true
vod_streams_import_route_apply_contract_route_found,P0.5,vod_streams_import_route_apply_contract,Provider Sync,vod_streams.import_route_apply_contract.route_found,on demand,24h,false,Content Ops,ENABLE_VOD_STREAMS_IMPORT_ROUTE_APPLY_CONTRACT_PLANNER,Disable VOD streams import route apply contract planner,true
vod_streams_import_route_apply_contract_readiness_status,P0.5,vod_streams_import_route_apply_contract,Provider Sync,vod_streams.import_route_apply_contract.readiness_status,on demand,24h,blocked|fail,Content Ops,ENABLE_VOD_STREAMS_IMPORT_ROUTE_APPLY_CONTRACT_PLANNER,Disable VOD streams import route apply contract planner,true
vod_streams_import_route_apply_contract_recommended_limit,P0.5,vod_streams_import_route_apply_contract,Provider Sync,vod_streams.import_route_apply_contract.recommended_limit,on demand,24h,0,Content Ops,ENABLE_VOD_STREAMS_IMPORT_ROUTE_APPLY_CONTRACT_PLANNER,Disable VOD streams import route apply contract planner,true
provider_snapshot_import_candidate_selected_completed,P0.5,provider_snapshot_import_candidate_selector,Provider Sync,provider_snapshot.import_candidate.selected,on demand,24h,status=fail,Content Ops,ENABLE_PROVIDER_SNAPSHOT_IMPORT_CANDIDATE_SELECTOR,Disable provider snapshot import candidate selector,true
provider_snapshot_import_candidate_found,P0.5,provider_snapshot_import_candidate_selector,Provider Sync,provider_snapshot.import_candidate.found,on demand,24h,false,Content Ops,ENABLE_PROVIDER_SNAPSHOT_IMPORT_CANDIDATE_SELECTOR,Disable provider snapshot import candidate selector,true
provider_snapshot_import_candidate_lane,P0.5,provider_snapshot_import_candidate_selector,Provider Sync,provider_snapshot.import_candidate.lane,on demand,24h,none,Content Ops,ENABLE_PROVIDER_SNAPSHOT_IMPORT_CANDIDATE_SELECTOR,Disable provider snapshot import candidate selector,true
provider_snapshot_import_candidate_selector_disposition,P0.5,provider_snapshot_import_candidate_selector,Provider Sync,provider_snapshot.import_candidate.selector_disposition,on demand,24h,blocked|fail,Content Ops,ENABLE_PROVIDER_SNAPSHOT_IMPORT_CANDIDATE_SELECTOR,Disable provider snapshot import candidate selector,true
provider_snapshot_import_candidate_simulated_completed,P0.5,provider_snapshot_import_candidate_simulator,Provider Sync,provider_snapshot.import_candidate.simulated,on demand,24h,status=fail,Content Ops,ENABLE_PROVIDER_SNAPSHOT_IMPORT_CANDIDATE_SIMULATOR,Disable provider snapshot import candidate simulator,true
provider_snapshot_import_candidate_simulated_lane,P0.5,provider_snapshot_import_candidate_simulator,Provider Sync,provider_snapshot.import_candidate.simulated_lane,on demand,24h,none,Content Ops,ENABLE_PROVIDER_SNAPSHOT_IMPORT_CANDIDATE_SIMULATOR,Disable provider snapshot import candidate simulator,true
provider_snapshot_import_candidate_simulated_disposition,P0.5,provider_snapshot_import_candidate_simulator,Provider Sync,provider_snapshot.import_candidate.simulated_disposition,on demand,24h,fail,Content Ops,ENABLE_PROVIDER_SNAPSHOT_IMPORT_CANDIDATE_SIMULATOR,Disable provider snapshot import candidate simulator,true
provider_snapshot_import_candidate_simulated_next_worker,P0.5,provider_snapshot_import_candidate_simulator,Provider Sync,provider_snapshot.import_candidate.simulated_next_worker,on demand,24h,none,Content Ops,ENABLE_PROVIDER_SNAPSHOT_IMPORT_CANDIDATE_SIMULATOR,Disable provider snapshot import candidate simulator,true
